INSURANCE_POLICY_NUMBER,"What is the policy number?"
INSURANCE_NAMED_INSURED,"What is the Named Insured and mailing address?"
INSURANCE_INSURANCE_COMPANY_NAME,"What is the name of the insurance company?"
INSURANCE_INSURED_PROPERTY,"What is the insured property?"
INSURANCE_PRIMARY_EMAIL,"What is the primary email address?"
INSURANCE_NUMBER_AUTO_ACCIDENTS_AT_FAULT,"What is the number of auto accidents at-fault?"
INSURANCE_NUMBER_AUTO_ACCIDENTS_NOT_AT_FAULT,"What is the number of auto accidents not-at-fault?"
INSURANCE_NUMBER_MAJOR_VIOLATIONS,"What is the number of major violations?"
INSURANCE_NUMBER_MINOR_VIOLATIONS,"What is the number of minor violations?"
INSURANCE_NUMBER_COMP_CLAIMS,"What is the number of comp claims?"
INSURANCE_PURCHASE_DATETIME,"What is the purchase date and time?"
INSURANCE_EFFECTIVE_DATE,"effective date?"
INSURANCE_EXPIRATION_DATE,"expiration date?"
INSURANCE_PRIMARY_NAME,"What is the primary applicant information name?"
INSURANCE_PRIMARY_DL_NUMBER,"What is the primary applicant information drivers license number?"
INSURANCE_PRIMARY_DOB,"What is the primary applicant information dob?"
INSURANCE_PRIMARY_DURATION_PRIOR_CARRIER,"What is the primary applicant information length of time with prior auto carrier?"
INSURANCE_PRIMARY_DL_STATE,"What is the primary applicant information dl state?"
INSURANCE_PRIMARY_DURATION_CURRENT_CARRIER,"What is the primary applicant information length of time with current auto carrier?"
INSURANCE_PRIMARY_YEARS_WITH_PRIOR,"What is the primary applicant information years with prior property company?"
INSURANCE_CO_APPLICANT_NAME,"What is the co-applicant name?"
INSURANCE_CO_APPLICANT_DL_STATE,"what is the co-applicant information dl state?"
INSURANCE_CO_APPLICANT_DURATION_CURRENT_CARRIER,"What is the co-applicant information length of time with current auto carrier?"
INSURANCE_CO_APPLICANT_DURATION_PRIOR_CARRIER,"What is the co-applicant information length of time with prior auto carrier?"
INSURANCE_CO_APPLICANT_DOB,"What is the co-applicant information dob?"
INSURANCE_CO_APPLICANT_DL_NUMBER,"What is the co-applicant information drivers license number?"
